matrix,n,sym,density_pct,Auto,Auto_choice,cuSPARSE,dense,opSparse,HSMU,cnnz
bp_1400,822,N,0.7089,0.875,hash,0.31,1.058,0.63,0.527,23154
bp_1600,822,N,0.7165,0.737,hash,0.335,1.056,0.689,0.465,23625
bp_200,822,N,0.5627,0.718,hash,0.317,1.062,0.822,0.457,13197
bp_400,822,N,0.5961,0.715,hash,0.312,1.083,0.659,0.464,15238
bp_600,822,N,0.6174,0.745,hash,0.312,1.052,0.647,0.468,16464
bp_800,822,N,0.671,0.755,hash,0.3,1.065,0.645,0.457,20224
can_1054,1054,Y,0.5964,0.193,merge3,0.389,1.87,0.771,0.273,60248
can_1072,1072,Y,0.5881,0.198,merge3,0.39,1.802,0.786,0.348,62316
can_144,144,Y,3.4722,0.132,merge3,0.28,0.182,0.697,0.551,3456
can_161,161,Y,2.9667,0.139,merge3,0.282,0.187,1.081,0.306,3761
can_187,187,Y,2.3993,0.128,merge3,0.285,0.2,0.572,0.297,3719
can_229,229,Y,1.9126,0.139,merge3,0.31,0.229,0.601,0.247,5017
can_24,24,Y,15.9722,0.105,merge3,0.265,0.157,0.751,0.272,336
can_256,256,Y,2.42,0.161,merge3,0.285,0.27,0.621,0.342,18568
can_268,268,Y,2.3321,0.148,merge3,0.305,0.242,0.785,0.326,15590
can_292,292,Y,1.6607,0.137,merge3,0.349,0.241,0.611,0.314,11670
can_445,445,Y,1.0741,0.124,merge3,0.329,0.398,0.713,0.241,11193
can_61,61,Y,8.3042,0.128,merge3,0.284,0.166,0.592,0.314,1793
can_62,62,Y,3.642,0.115,merge3,0.283,0.171,0.692,0.288,482
can_634,634,Y,0.978,0.157,merge3,0.344,0.634,0.887,0.26,25446
can_715,715,Y,0.7218,0.286,merge3,0.378,0.882,0.612,0.366,39785
can_73,73,Y,4.2222,0.118,merge3,0.279,0.162,0.609,0.285,1377
can_838,838,Y,0.7724,0.151,merge3,0.384,1.078,0.602,0.34,51156
can_96,96,Y,4.6875,0.168,merge3,0.266,0.153,0.694,0.228,1920
