id,name,group,n,nnz,density_pct,sparsity_pct,class,in_local_data,url_mm
2338,ww_36_pmec_36,Rommes,66,1194,27.41046831955923,72.58953168044077,Dense,False,https://sparse.tamu.edu/MM/Rommes/ww_36_pmec_36.tar.gz
1177,lap_25,HB,25,169,27.04,72.96000000000001,Dense,False,https://sparse.tamu.edu/MM/HB/lap_25.tar.gz
2761,mycielskian5,Mycielski,23,142,26.84310018903592,73.15689981096408,Dense,False,https://sparse.tamu.edu/MM/Mycielski/mycielskian5.tar.gz
327,qc324,Bai,324,26730,25.46296296296296,74.53703703703704,Dense,False,https://sparse.tamu.edu/MM/Bai/qc324.tar.gz
1438,LF10,Oberwolfach,18,82,25.30864197530864,74.69135802469135,Dense,True,https://sparse.tamu.edu/MM/Oberwolfach/LF10.tar.gz
2872,iris_dataset_30NN,ML_Graph,150,5518,24.52444444444444,75.47555555555556,Dense,False,https://sparse.tamu.edu/MM/ML_Graph/iris_dataset_30NN.tar.gz
1525,Tina_AskCal,Pajek,11,29,23.96694214876033,76.03305785123968,Dense,False,https://sparse.tamu.edu/MM/Pajek/Tina_AskCal.tar.gz
1440,LFAT5,Oberwolfach,14,46,23.46938775510204,76.53061224489795,Dense,False,https://sparse.tamu.edu/MM/Oberwolfach/LFAT5.tar.gz
2457,chesapeake,DIMACS10,39,340,22.353714661406972,77.64628533859303,Dense,False,https://sparse.tamu.edu/MM/DIMACS10/chesapeake.tar.gz
1641,tols90,Bai,90,1746,21.55555555555555,78.44444444444446,Dense,False,https://sparse.tamu.edu/MM/Bai/tols90.tar.gz
2762,mycielskian6,Mycielski,47,472,21.36713444997736,78.63286555002263,Dense,False,https://sparse.tamu.edu/MM/Mycielski/mycielskian6.tar.gz
26,bcsstk04,HB,132,3648,20.9366391184573,79.06336088154269,Dense,False,https://sparse.tamu.edu/MM/HB/bcsstk04.tar.gz
209,mbeacxc,HB,496,49920,20.291363163371482,79.70863683662851,Dense,False,https://sparse.tamu.edu/MM/HB/mbeacxc.tar.gz
210,mbeaflw,HB,496,49920,20.291363163371482,79.70863683662851,Dense,False,https://sparse.tamu.edu/MM/HB/mbeaflw.tar.gz
232,pores_1,HB,30,180,20.0,80.0,Dense,False,https://sparse.tamu.edu/MM/HB/pores_1.tar.gz
1943,CAG_mat72,JGD_CAG,72,1012,19.5216049382716,80.47839506172839,Dense,False,https://sparse.tamu.edu/MM/JGD_CAG/CAG_mat72.tar.gz
23,bcsstk01,HB,48,400,17.36111111111111,82.63888888888889,Dense,False,https://sparse.tamu.edu/MM/HB/bcsstk01.tar.gz
906,cage5,vanHeukelum,37,233,17.01972242512783,82.98027757487216,Dense,False,https://sparse.tamu.edu/MM/vanHeukelum/cage5.tar.gz
2763,mycielskian7,Mycielski,95,1510,16.73130193905817,83.26869806094183,Dense,False,https://sparse.tamu.edu/MM/Mycielski/mycielskian7.tar.gz
211,mbeause,HB,496,41063,16.69119081685744,83.30880918314256,Dense,False,https://sparse.tamu.edu/MM/HB/mbeause.tar.gz
1481,GD02_a,Pajek,23,87,16.4461247637051,83.5538752362949,Dense,False,https://sparse.tamu.edu/MM/Pajek/GD02_a.tar.gz
102,can_61,HB,61,557,14.969094329481319,85.03090567051868,Dense,False,https://sparse.tamu.edu/MM/HB/can_61.tar.gz
1515,Ragusa16,Pajek,24,81,14.0625,85.9375,Dense,False,https://sparse.tamu.edu/MM/Pajek/Ragusa16.tar.gz
2406,jazz,Arenas,198,5484,13.98836853382307,86.01163146617692,Dense,False,https://sparse.tamu.edu/MM/Arenas/jazz.tar.gz
416,ex2,FIDAP,441,26839,13.80031982558707,86.19968017441293,Dense,False,https://sparse.tamu.edu/MM/FIDAP/ex2.tar.gz
2399,karate,Newman,34,156,13.494809688581311,86.50519031141867,Dense,False,https://sparse.tamu.edu/MM/Newman/karate.tar.gz
872,mesh1e1,Pothen,48,306,13.28125,86.71875,Dense,False,https://sparse.tamu.edu/MM/Pothen/mesh1e1.tar.gz
873,mesh1em1,Pothen,48,306,13.28125,86.71875,Dense,False,https://sparse.tamu.edu/MM/Pothen/mesh1em1.tar.gz
874,mesh1em6,Pothen,48,306,13.28125,86.71875,Dense,False,https://sparse.tamu.edu/MM/Pothen/mesh1em6.tar.gz
2764,mycielskian8,Mycielski,191,4720,12.93824182451139,87.0617581754886,Dense,False,https://sparse.tamu.edu/MM/Mycielski/mycielskian8.tar.gz
2858,breasttissue_10NN,ML_Graph,106,1412,12.566749733001059,87.43325026699893,Dense,False,https://sparse.tamu.edu/MM/ML_Graph/breasttissue_10NN.tar.gz
891,heart2,Norris,2339,680341,12.43558442902026,87.56441557097973,Dense,False,https://sparse.tamu.edu/MM/Norris/heart2.tar.gz
892,heart3,Norris,2339,680341,12.43558442902026,87.56441557097973,Dense,False,https://sparse.tamu.edu/MM/Norris/heart3.tar.gz
1480,GD01_c,Pajek,33,135,12.39669421487603,87.60330578512396,Dense,False,https://sparse.tamu.edu/MM/Pajek/GD01_c.tar.gz
168,ibm32,HB,32,126,12.3046875,87.6953125,Dense,False,https://sparse.tamu.edu/MM/HB/ibm32.tar.gz
1516,Ragusa18,Pajek,23,64,12.09829867674858,87.90170132325142,Dense,False,https://sparse.tamu.edu/MM/Pajek/Ragusa18.tar.gz
1493,GD97_b,Pajek,47,264,11.95110909913988,88.04889090086012,Dense,False,https://sparse.tamu.edu/MM/Pajek/GD97_b.tar.gz
2850,dendrimer,Negre,730,63024,11.82660911990992,88.17339088009007,Dense,False,https://sparse.tamu.edu/MM/Negre/dendrimer.tar.gz
293,bfwa62,Bai,62,450,11.70655567117585,88.29344432882415,Dense,False,https://sparse.tamu.edu/MM/Bai/bfwa62.tar.gz
1328,tomography,MathWorks,500,28726,11.490400000000001,88.5096,Dense,False,https://sparse.tamu.edu/MM/MathWorks/tomography.tar.gz
1479,GD01_b,Pajek,18,37,11.41975308641975,88.58024691358025,Dense,False,https://sparse.tamu.edu/MM/Pajek/GD01_b.tar.gz
206,lund_a,HB,147,2449,11.333240779304909,88.66675922069508,Dense,False,https://sparse.tamu.edu/MM/HB/lund_a.tar.gz
207,lund_b,HB,147,2441,11.29621916793928,88.70378083206072,Dense,False,https://sparse.tamu.edu/MM/HB/lund_b.tar.gz
890,heart1,Norris,3557,1385317,10.94917591330995,89.05082408669004,Dense,False,https://sparse.tamu.edu/MM/Norris/heart1.tar.gz
27,bcsstk05,HB,153,2423,10.35071980862061,89.64928019137939,Dense,False,https://sparse.tamu.edu/MM/HB/bcsstk05.tar.gz
883,sphere2,Pothen,66,450,10.33057851239669,89.6694214876033,Dense,True,https://sparse.tamu.edu/MM/Pothen/sphere2.tar.gz
1942,CAG_mat364,JGD_CAG,364,13585,10.25313971742543,89.74686028257457,Dense,False,https://sparse.tamu.edu/MM/JGD_CAG/CAG_mat364.tar.gz
519,G55,Gset,5000,24996,0.09998400000000002,99.900016,Extremely sparse,False,https://sparse.tamu.edu/MM/Gset/G55.tar.gz
520,G56,Gset,5000,24996,0.09998400000000002,99.900016,Extremely sparse,False,https://sparse.tamu.edu/MM/Gset/G56.tar.gz
1790,iprob,Meszaros,3001,9000,0.09993336665184999,99.90006663334812,Extremely sparse,False,https://sparse.tamu.edu/MM/Meszaros/iprob.tar.gz
1562,c-43,Schenk_IBMNA,11125,123659,0.09991384926145001,99.90008615073856,Extremely sparse,False,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-43.tar.gz
1239,laser,GHS_indef,3002,9000,0.09986679988158,99.90013320011842,Extremely sparse,False,https://sparse.tamu.edu/MM/GHS_indef/laser.tar.gz
827,av41092,Vavasis,41092,1683902,0.09972458871729999,99.90027541128268,Extremely sparse,False,https://sparse.tamu.edu/MM/Vavasis/av41092.tar.gz
2634,vsp_befref_fxm_2_4_air02,DIMACS10,14109,196448,0.09868590877116,99.90131409122884,Extremely sparse,False,https://sparse.tamu.edu/MM/DIMACS10/vsp_befref_fxm_2_4_air02.tar.gz
368,pct20stif,Boeing,52329,2698463,0.09854431990181,99.90145568009818,Extremely sparse,False,https://sparse.tamu.edu/MM/Boeing/pct20stif.tar.gz
2565,cz10228,CPM,10228,102876,0.09834054958751,99.90165945041248,Extremely sparse,False,https://sparse.tamu.edu/MM/CPM/cz10228.tar.gz
1282,srb1,GHS_psdef,54924,2962152,0.09819356397646,99.90180643602352,Extremely sparse,False,https://sparse.tamu.edu/MM/GHS_psdef/srb1.tar.gz
2643,vsp_p0291_seymourl_iiasa,DIMACS10,10498,107736,0.09775696509302,99.90224303490696,Extremely sparse,False,https://sparse.tamu.edu/MM/DIMACS10/vsp_p0291_seymourl_iiasa.tar.gz
2823,Goodwin_054,Goodwin,32510,1030878,0.0975378846118,99.9024621153882,Extremely sparse,False,https://sparse.tamu.edu/MM/Goodwin/Goodwin_054.tar.gz
1847,Dubcova1,UTEP,16129,253009,0.0972570486278,99.9027429513722,Extremely sparse,False,https://sparse.tamu.edu/MM/UTEP/Dubcova1.tar.gz
355,crystm03,Boeing,24696,583770,0.0957168813196,99.9042831186804,Extremely sparse,True,https://sparse.tamu.edu/MM/Boeing/crystm03.tar.gz
763,shuttle_eddy,Nasa,10429,103599,0.09525115014805,99.90474884985194,Extremely sparse,False,https://sparse.tamu.edu/MM/Nasa/shuttle_eddy.tar.gz
881,shuttle_eddy,Pothen,10429,103599,0.09525115014805,99.90474884985194,Extremely sparse,False,https://sparse.tamu.edu/MM/Pothen/shuttle_eddy.tar.gz
356,ct20stif,Boeing,52329,2600295,0.09495935364653,99.90504064635346,Extremely sparse,False,https://sparse.tamu.edu/MM/Boeing/ct20stif.tar.gz
2331,minnesota,Gleich,2642,6606,0.0946396101868,99.9053603898132,Extremely sparse,False,https://sparse.tamu.edu/MM/Gleich/minnesota.tar.gz
846,bcsstk39,Boeing,46772,2060662,0.09419652476533,99.90580347523466,Extremely sparse,False,https://sparse.tamu.edu/MM/Boeing/bcsstk39.tar.gz
53,bcsstk31,HB,35588,1181416,0.0932815350895,99.9067184649105,Extremely sparse,False,https://sparse.tamu.edu/MM/HB/bcsstk31.tar.gz
63,bcsstm08,HB,1074,1074,0.09310986964618,99.90689013035382,Extremely sparse,False,https://sparse.tamu.edu/MM/HB/bcsstm08.tar.gz
1185,rajat01,Rajat,6833,43250,0.09263247552376,99.90736752447624,Extremely sparse,False,https://sparse.tamu.edu/MM/Rajat/rajat01.tar.gz
887,fv1,Norris,9604,85264,0.09244031146955001,99.90755968853044,Extremely sparse,False,https://sparse.tamu.edu/MM/Norris/fv1.tar.gz
64,bcsstm09,HB,1083,1083,0.09233610341643,99.90766389658356,Extremely sparse,False,https://sparse.tamu.edu/MM/HB/bcsstm09.tar.gz
2569,CurlCurl_0,Bodendiek,11083,113343,0.09227414654392001,99.90772585345609,Extremely sparse,False,https://sparse.tamu.edu/MM/Bodendiek/CurlCurl_0.tar.gz
2229,TSOPF_FS_b39_c7,TSOPF,28216,730080,0.09170215846341,99.90829784153658,Extremely sparse,False,https://sparse.tamu.edu/MM/TSOPF/TSOPF_FS_b39_c7.tar.gz
888,fv2,Norris,9801,87025,0.09059479645349999,99.9094052035465,Extremely sparse,False,https://sparse.tamu.edu/MM/Norris/fv2.tar.gz
889,fv3,Norris,9801,87025,0.09059479645349999,99.9094052035465,Extremely sparse,False,https://sparse.tamu.edu/MM/Norris/fv3.tar.gz
1916,t2d_q4,TKK,9801,87025,0.09059479645349999,99.9094052035465,Extremely sparse,False,https://sparse.tamu.edu/MM/TKK/t2d_q4.tar.gz
1917,t2d_q9,TKK,9801,87025,0.09059479645349999,99.9094052035465,Extremely sparse,False,https://sparse.tamu.edu/MM/TKK/t2d_q9.tar.gz
810,shyy41,Shyy,4720,20042,0.089961577133,99.910038422867,Extremely sparse,False,https://sparse.tamu.edu/MM/Shyy/shyy41.tar.gz
1354,GaAsH6,PARSEC,61349,3381809,0.08985331399442,99.91014668600558,Extremely sparse,False,https://sparse.tamu.edu/MM/PARSEC/GaAsH6.tar.gz
1566,c-47,Schenk_IBMNA,15343,211401,0.08980209474841,99.91019790525158,Extremely sparse,False,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-47.tar.gz
1247,stokes64,GHS_indef,12546,140034,0.08896576714380999,99.9110342328562,Extremely sparse,False,https://sparse.tamu.edu/MM/GHS_indef/stokes64.tar.gz
1248,stokes64s,GHS_indef,12546,140034,0.08896576714380999,99.9110342328562,Extremely sparse,False,https://sparse.tamu.edu/MM/GHS_indef/stokes64s.tar.gz
761,nasasrb,Nasa,54870,2677324,0.0889264613355,99.9110735386645,Extremely sparse,False,https://sparse.tamu.edu/MM/Nasa/nasasrb.tar.gz
2693,hangGlider_3,VDOL,10260,92703,0.08806413369355001,99.91193586630644,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/hangGlider_3.tar.gz
1891,eurqsa,Marini,7245,46142,0.08790622599246,99.91209377400752,Extremely sparse,False,https://sparse.tamu.edu/MM/Marini/eurqsa.tar.gz
2708,lowThrust_4,VDOL,13562,160947,0.08750551112859,99.9124944888714,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_4.tar.gz
2391,astro-ph,Newman,16706,242502,0.08689011471536,99.91310988528464,Extremely sparse,False,https://sparse.tamu.edu/MM/Newman/astro-ph.tar.gz
2374,consph,Williams,83334,6010480,0.08654952720202,99.91345047279798,Extremely sparse,False,https://sparse.tamu.edu/MM/Williams/consph.tar.gz
1197,rajat13,Rajat,7598,48762,0.0844661951951,99.9155338048049,Extremely sparse,False,https://sparse.tamu.edu/MM/Rajat/rajat13.tar.gz
1399,laminar_duct3D,Raju,67173,3788857,0.08396895047524,99.91603104952476,Extremely sparse,False,https://sparse.tamu.edu/MM/Raju/laminar_duct3D.tar.gz
858,pkustk12,Chen,94653,7512317,0.08385040005906,99.91614959994092,Extremely sparse,False,https://sparse.tamu.edu/MM/Chen/pkustk12.tar.gz
291,af23560,Bai,23560,460598,0.08297962648556,99.91702037351445,Extremely sparse,False,https://sparse.tamu.edu/MM/Bai/af23560.tar.gz
1559,c-40,Schenk_IBMNA,9941,81501,0.08247129040111001,99.91752870959888,Extremely sparse,False,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-40.tar.gz
540,add32,Hamm,4960,19848,0.08067767950051999,99.91932232049948,Extremely sparse,False,https://sparse.tamu.edu/MM/Hamm/add32.tar.gz
837,hydr1,Zitney,5308,22680,0.08049728296825001,99.91950271703176,Extremely sparse,False,https://sparse.tamu.edu/MM/Zitney/hydr1.tar.gz
1536,hydr1c,Zitney,5308,22592,0.08018494783150999,99.91981505216847,Extremely sparse,False,https://sparse.tamu.edu/MM/Zitney/hydr1c.tar.gz
521,G57,Gset,5000,20000,0.08,99.92,Extremely sparse,False,https://sparse.tamu.edu/MM/Gset/G57.tar.gz
322,olm5000,Bai,5000,19996,0.079984,99.920016,Extremely sparse,False,https://sparse.tamu.edu/MM/Bai/olm5000.tar.gz
244,sherman3,HB,5005,20033,0.07997197607587,99.92002802392412,Extremely sparse,False,https://sparse.tamu.edu/MM/HB/sherman3.tar.gz
1879,viscorocks,Mancktelow,37762,1133641,0.07949971444112,99.92050028555887,Extremely sparse,False,https://sparse.tamu.edu/MM/Mancktelow/viscorocks.tar.gz
1598,conf5_4-8x8-05,QCD,49152,1916928,0.079345703125,99.920654296875,Extremely sparse,False,https://sparse.tamu.edu/MM/QCD/conf5_4-8x8-05.tar.gz
1599,conf5_4-8x8-10,QCD,49152,1916928,0.079345703125,99.920654296875,Extremely sparse,False,https://sparse.tamu.edu/MM/QCD/conf5_4-8x8-10.tar.gz
1600,conf5_4-8x8-15,QCD,49152,1916928,0.079345703125,99.920654296875,Extremely sparse,False,https://sparse.tamu.edu/MM/QCD/conf5_4-8x8-15.tar.gz
1601,conf5_4-8x8-20,QCD,49152,1916928,0.079345703125,99.920654296875,Extremely sparse,False,https://sparse.tamu.edu/MM/QCD/conf5_4-8x8-20.tar.gz
1602,conf6_0-8x8-20,QCD,49152,1916928,0.079345703125,99.920654296875,Extremely sparse,False,https://sparse.tamu.edu/MM/QCD/conf6_0-8x8-20.tar.gz
1603,conf6_0-8x8-30,QCD,49152,1916928,0.079345703125,99.920654296875,Extremely sparse,False,https://sparse.tamu.edu/MM/QCD/conf6_0-8x8-30.tar.gz
1604,conf6_0-8x8-80,QCD,49152,1916928,0.079345703125,99.920654296875,Extremely sparse,True,https://sparse.tamu.edu/MM/QCD/conf6_0-8x8-80.tar.gz
849,pkustk03,Chen,63336,3130416,0.07803704050976,99.92196295949024,Extremely sparse,False,https://sparse.tamu.edu/MM/Chen/pkustk03.tar.gz
22,bcspwr10,HB,5300,21842,0.07775720897116001,99.92224279102884,Extremely sparse,False,https://sparse.tamu.edu/MM/HB/bcspwr10.tar.gz
549,g7jac040,Hollinger,11790,107383,0.0772516781879,99.9227483218121,Extremely sparse,False,https://sparse.tamu.edu/MM/Hollinger/g7jac040.tar.gz
550,g7jac040sc,Hollinger,11790,107383,0.0772516781879,99.9227483218121,Extremely sparse,False,https://sparse.tamu.edu/MM/Hollinger/g7jac040sc.tar.gz
336,rw5151,Bai,5151,20199,0.07612841177228,99.92387158822773,Extremely sparse,False,https://sparse.tamu.edu/MM/Bai/rw5151.tar.gz
1183,coupled,IBM_Austin,11341,97193,0.07556701834632,99.92443298165368,Extremely sparse,False,https://sparse.tamu.edu/MM/IBM_Austin/coupled.tar.gz
2709,lowThrust_5,VDOL,16262,198369,0.07501116154467,99.92498883845532,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_5.tar.gz
886,tandem_vtx,Pothen,18454,253350,0.07439433672076,99.92560566327924,Extremely sparse,False,https://sparse.tamu.edu/MM/Pothen/tandem_vtx.tar.gz
1290,x104,DNVS,108384,8713602,0.0741766762661,99.9258233237339,Extremely sparse,False,https://sparse.tamu.edu/MM/DNVS/x104.tar.gz
1563,c-44,Schenk_IBMNA,10728,85000,0.07385525398978,99.9261447460102,Extremely sparse,False,https://sparse.tamu.edu/MM/Schenk_IBMNA/c-44.tar.gz
466,meg4,Grund,5860,25258,0.07355356498037001,99.92644643501964,Extremely sparse,False,https://sparse.tamu.edu/MM/Grund/meg4.tar.gz
568,jan99jac020,Hollinger,6774,33744,0.07353704559427,99.92646295440572,Extremely sparse,False,https://sparse.tamu.edu/MM/Hollinger/jan99jac020.tar.gz
569,jan99jac020sc,Hollinger,6774,33744,0.07353704559427,99.92646295440572,Extremely sparse,False,https://sparse.tamu.edu/MM/Hollinger/jan99jac020sc.tar.gz
859,pkustk13,Chen,94893,6616827,0.07348207748909,99.92651792251093,Extremely sparse,False,https://sparse.tamu.edu/MM/Chen/pkustk13.tar.gz
2468,delaunay_n13,DIMACS10,8192,49094,0.07315576076507001,99.92684423923492,Extremely sparse,False,https://sparse.tamu.edu/MM/DIMACS10/delaunay_n13.tar.gz
2710,lowThrust_6,VDOL,16928,207349,0.07235868147001001,99.92764131853,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_6.tar.gz
1432,flowmeter0,Oberwolfach,9669,67391,0.07208398379365,99.92791601620634,Extremely sparse,False,https://sparse.tamu.edu/MM/Oberwolfach/flowmeter0.tar.gz
1433,flowmeter5,Oberwolfach,9669,67391,0.07208398379365,99.92791601620634,Extremely sparse,False,https://sparse.tamu.edu/MM/Oberwolfach/flowmeter5.tar.gz
1255,copter1,GHS_psdef,17222,211064,0.07116181144801,99.928838188552,Extremely sparse,False,https://sparse.tamu.edu/MM/GHS_psdef/copter1.tar.gz
1478,GD01_Acap,Pajek,953,645,0.07101889543045,99.92898110456954,Extremely sparse,False,https://sparse.tamu.edu/MM/Pajek/GD01_Acap.tar.gz
2214,case9,QY,14454,147972,0.07082774956672,99.92917225043328,Extremely sparse,False,https://sparse.tamu.edu/MM/QY/case9.tar.gz
2231,TSOPF_FS_b9_c6,TSOPF,14454,147972,0.07082774956672,99.92917225043328,Extremely sparse,False,https://sparse.tamu.edu/MM/TSOPF/TSOPF_FS_b9_c6.tar.gz
2711,lowThrust_7,VDOL,17378,211561,0.07005449800931,99.92994550199067,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_7.tar.gz
525,G60,Gset,7000,34296,0.06999183673468999,99.9300081632653,Extremely sparse,False,https://sparse.tamu.edu/MM/Gset/G60.tar.gz
526,G61,Gset,7000,34296,0.06999183673468999,99.9300081632653,Extremely sparse,False,https://sparse.tamu.edu/MM/Gset/G61.tar.gz
1428,chipcool0,Oberwolfach,20082,281150,0.0697146678203,99.9302853321797,Extremely sparse,False,https://sparse.tamu.edu/MM/Oberwolfach/chipcool0.tar.gz
1429,chipcool1,Oberwolfach,20082,281150,0.0697146678203,99.9302853321797,Extremely sparse,False,https://sparse.tamu.edu/MM/Oberwolfach/chipcool1.tar.gz
1208,t3dh_a,Oberwolfach,79171,4352105,0.06943318760478,99.9305668123952,Extremely sparse,False,https://sparse.tamu.edu/MM/Oberwolfach/t3dh_a.tar.gz
1209,t3dh_e,Oberwolfach,79171,4352105,0.06943318760478,99.9305668123952,Extremely sparse,False,https://sparse.tamu.edu/MM/Oberwolfach/t3dh_e.tar.gz
1450,t3dh,Oberwolfach,79171,4352105,0.06943318760478,99.9305668123952,Extremely sparse,False,https://sparse.tamu.edu/MM/Oberwolfach/t3dh.tar.gz
2712,lowThrust_8,VDOL,17702,216445,0.06907213577356,99.93092786422643,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_8.tar.gz
970,nmos3,Schenk_ISEI,18588,237130,0.06863113381677,99.93136886618322,Extremely sparse,False,https://sparse.tamu.edu/MM/Schenk_ISEI/nmos3.tar.gz
933,waveguide3D,FEMLAB,21036,303468,0.06857827838013,99.93142172161986,Extremely sparse,False,https://sparse.tamu.edu/MM/FEMLAB/waveguide3D.tar.gz
2350,bips98_606,Rommes,7135,34738,0.06823651777291,99.93176348222708,Extremely sparse,False,https://sparse.tamu.edu/MM/Rommes/bips98_606.tar.gz
66,bcsstm11,HB,1473,1473,0.06788866259334,99.93211133740664,Extremely sparse,False,https://sparse.tamu.edu/MM/HB/bcsstm11.tar.gz
857,pkustk11,Chen,87804,5217912,0.0676812152842,99.9323187847158,Extremely sparse,False,https://sparse.tamu.edu/MM/Chen/pkustk11.tar.gz
2713,lowThrust_9,VDOL,18044,219589,0.06744425226032999,99.93255574773968,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_9.tar.gz
1473,foldoc,Pajek,13356,120238,0.06740450488437,99.93259549511563,Extremely sparse,False,https://sparse.tamu.edu/MM/Pajek/foldoc.tar.gz
2887,usps_norm_5NN,ML_Graph,11000,81112,0.06703471074379999,99.9329652892562,Extremely sparse,False,https://sparse.tamu.edu/MM/ML_Graph/usps_norm_5NN.tar.gz
1303,linverse,GHS_indef,11999,95977,0.06666180428222,99.93333819571777,Extremely sparse,False,https://sparse.tamu.edu/MM/GHS_indef/linverse.tar.gz
551,g7jac050sc,Hollinger,14760,145157,0.06662930281064,99.93337069718936,Extremely sparse,False,https://sparse.tamu.edu/MM/Hollinger/g7jac050sc.tar.gz
2714,lowThrust_10,VDOL,18260,222005,0.0665826704208,99.9334173295792,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_10.tar.gz
2715,lowThrust_11,VDOL,18368,223801,0.06633431996943,99.93366568003056,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_11.tar.gz
1356,Ge99H100,PARSEC,112985,8451395,0.06620439486276,99.93379560513723,Extremely sparse,False,https://sparse.tamu.edu/MM/PARSEC/Ge99H100.tar.gz
856,pkustk10,Chen,80676,4308984,0.06620429525794,99.93379570474204,Extremely sparse,False,https://sparse.tamu.edu/MM/Chen/pkustk10.tar.gz
2716,lowThrust_12,VDOL,18458,224593,0.06592147754746999,99.93407852245252,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_12.tar.gz
2717,lowThrust_13,VDOL,18476,224897,0.06588214872153,99.93411785127846,Extremely sparse,False,https://sparse.tamu.edu/MM/VDOL/lowThrust_13.tar.gz
755,barth4,Nasa,6019,23492,0.06484422521902,99.93515577478098,Extremely sparse,False,https://sparse.tamu.edu/MM/Nasa/barth4.tar.gz
2136,case39,QY,40216,1042160,0.06443719925926,99.93556280074073,Extremely sparse,False,https://sparse.tamu.edu/MM/QY/case39.tar.gz
860,pkustk14,Chen,151926,14836504,0.06427874232154,99.93572125767844,Extremely sparse,True,https://sparse.tamu.edu/MM/Chen/pkustk14.tar.gz
454,bayer03,Grund,6747,29195,0.06413381272342,99.93586618727656,Extremely sparse,False,https://sparse.tamu.edu/MM/Grund/bayer03.tar.gz
1472,FA,Pajek,10617,72176,0.06403083643323,99.93596916356675,Extremely sparse,False,https://sparse.tamu.edu/MM/Pajek/FA.tar.gz
1507,Kohonen,Pajek,4470,12731,0.06371584863544,99.93628415136456,Extremely sparse,False,https://sparse.tamu.edu/MM/Pajek/Kohonen.tar.gz
